table_name,event_date,user_pseudo_id,advertising_id,app_version,platform,country,online_time,max_level,engagement_time_msec,ga_session_id,ga_session_number,event_name,product_id_iap,rev_iap,rev_iaa,placement,ad_source,ad_format,install_date
IAA,7/26/2025,6a82f5061ed803565d7a225bdfe84a07,73782e69-3703-402d-a40c-d010938b722f,3.1.1,ANDROID,Thailand,874914,134,,1753517261,49,ad_impression,,0,0.001960572,AdsChangeFahion,Google AdMob,REWARDED,7/12/2025
IAA,7/23/2025,6a82f5061ed803565d7a225bdfe84a07,73782e69-3703-402d-a40c-d010938b722f,3.1.1,ANDROID,Thailand,611968,117,,1753268146,45,ad_impression,,0,0.002449789,AdsChangeFahion,AppLovin,REWARDED,7/12/2025
IAA,7/20/2025,ebc7a5791078737466544561d4398860,79c1c43a-c58d-405b-b017-b7cde4617457,3.1.1,ANDROID,Indonesia,20371,19,,1752971996,2,ad_impression,,0,0.000716519,AdsUpgrade_Patient,Unity Ads,REWARDED,7/19/2025
IAA,8/7/2025,2226dc8b9b13568170698bfa200cecbd,7d0da051-9f46-43d3-b7ca-72bceb6acccc,3.1.1,ANDROID,Türkiye,567277,281,,1754548072,82,ad_impression,,0,0.004924015,AdsUpgrade_Patient,Google AdMob,REWARDED,7/2/2025
IAA,7/19/2025,ca3ab7e77b04c5a0e2fbc14b340ca526,8698b8b0-c15a-4ce4-accd-d8dc06cdb178,3.1.1,ANDROID,Egypt,667,5,,1752922724,2,ad_impression,,0,0.000379877,AdsChangeFahion,AppLovin,REWARDED,7/18/2025
IAA,7/17/2025,cf2897c6c4d9d77052b3df44a9691e42,88d3bb6d-ad1e-4caa-8311-220e02a71439,3.1.1,ANDROID,India,13292,10,,1752744490,9,ad_impression,,0,0.031435747,AdsChangeFahion,Google AdMob,INTER,7/14/2025
IAA,8/6/2025,5c00c72d1e9f94458d26b45289bf1187,8952d665-c9a5-430d-b99e-7c22973a1468,3.1.1,ANDROID,Russia,522284,397,,1754494830,127,ad_impression,,0,0.000510818,AdsChangeFahion,AppLovin,REWARDED,7/24/2025
IAA,8/8/2025,3357b12bdd6f3ea559c25862545638ec,8e622c9c-759e-450d-bdc4-f48d88452f07,3.1.1,ANDROID,Belarus,1591878,92,,1754641030,15,ad_impression,,0,0.014371747,GameWinAds_Type_2.1,Google AdMob,REWARDED,8/5/2025
IAA,8/2/2025,77258a32444643143e57c51af7dfbdc9,94a1b8da-83ca-4c93-90a3-6e8b048827e2,3.1.1,ANDROID,Indonesia,802518,142,,1754110214,58,ad_impression,,0,0.000989463,Ads_NMC,AppLovin,REWARDED,7/14/2025
IAA,7/21/2025,7f9b690144860ce76d7bba500db434a4,9bdf2a50-4b49-4b2b-83bc-ade94940f59c,3.1.1,ANDROID,Lebanon,199914,41,,1753039221,15,ad_impression,,0,0.0001013,AdsChangeFahion,Mintegral,REWARDED,7/18/2025
IAA,7/22/2025,7f9b690144860ce76d7bba500db434a4,9bdf2a50-4b49-4b2b-83bc-ade94940f59c,3.1.1,ANDROID,Lebanon,224818,41,,1753200430,21,ad_impression,,0,0.000289133,AdsChangeFahion,Google AdMob,REWARDED,7/18/2025
